項次,出入口名稱,出入口編號,經度,緯度,是否為無障礙用
1,頂埔站出口1,1,121.4183364,24.9593267,是
2,頂埔站出口2,2,121.4183575,24.95894725,否
3,頂埔站出口3,3,121.4192802,24.95950272,是
4,頂埔站出口4,4,121.4199687,24.96025528,是
5,松山機場站出口1,1,121.5520427,25.0636308,是
6,松山機場站出口2,2,121.5509869,25.0635351,是
7,松山機場站出口3,3,121.5518415,25.0631707,是
8,中山國中站出口,0,121.5439794,25.06082643,是
9,忠孝復興站出口1,1,121.543143,25.041797,否
10,忠孝復興站出口2,2,121.543517,25.041206,是
11,忠孝復興站出口3,3,121.544806,25.041467,否
12,忠孝復興站出口4,4,121.54506,25.041772,否
13,忠孝復興站出口5,5,121.543985,25.04202,否
14,大安站出口1,1,121.5420001,25.03360186,否
15,大安站出口2,2,121.5415899,25.03364917,否
16,大安站出口3,3,121.54233,25.033241,是
17,大安站出口4,4,121.5439764,25.0331244,是
18,大安站出口5,5,121.543719,25.032862,否
19,大安站出口6,6,121.543749,25.034006,否
20,科技大樓站出口1,1,121.543636,25.026154,是
21,科技大樓站出口2,2,121.541667,25.025833,是
22,六張犁站出口,0,121.552737,25.023852,是
23,麟光站出口,0,121.558606,25.018554,是
24,辛亥站出口,0,121.557021,25.005119,是
25,萬芳醫院站出口,0,121.557737,24.999383,是
26,萬芳社區站出口,0,121.5684087,24.99858101,是
27,木柵站出口,0,121.573417,24.998174,是
28,動物園站出口1,1,121.579942,24.9982988,是
29,動物園站出口2,2,121.579321,24.997971,是
30,大直站出口1,1,121.5469257,25.08036069,是
31,大直站出口2,2,121.546823,25.079584,否
32,大直站出口3,3,121.5470127,25.07943891,是
33,劍南路站出口1,1,121.5553542,25.08548437,是
34,劍南路站出口2,2,121.5552019,25.08459783,是
35,劍南路站出口3,3,121.5560658,25.08432308,否
36,西湖站出口1,1,121.566647,25.082339,是
37,西湖站出口2,2,121.567141,25.082023,是
38,港墘站出口1,1,121.5758005,25.08013028,是
39,港墘站出口2,2,121.574704,25.080065,是
40,文德站出口1,1,121.58564,25.078671,是
41,文德站出口2,2,121.5845981,25.07835342,是
42,內湖站出口1,1,121.594266,25.083745,是
43,內湖站出口2,2,121.594612,25.083636,是
44,大湖公園站出口1,1,121.602377,25.083894,是
